id,rowid,avalue,addressout,addressin,bvalue,bit_position,buttonpath,code,decimal,defaultvalue,delay,delta,description,dimension,frequency,functioncode,grpcategory,idgroup,idhsvariable,idvarmdl,idvariable,imageoff,imageon,inserttime,isactive,iscancelled,ishaccp,islogic,isonchange,lastupdate,length,maximum,measureunit,minimum,priority,readwrite,signed,todisplay,type,varencoding,detail_id,devicemodel
83acce5e-215c-4a3b-8103-6a4da5fd4cca,2749,,10,10,,4,,Al_Oil_C11_L1,false,0,0,0,L1 - Compressor 11 oil alarm,16,30,,43,8,-1,60442,50017,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
5f6d84cc-5cb1-44da-bf73-b0caed88f1d3,2750,,110,110,,4,,Al_Oil_C11_L2,false,0,0,0,L2 - Compressor 11 oil alarm,16,30,,43,8,-1,60444,50019,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
6a7370be-3edc-4459-9f70-385d33800a3b,2751,,64,64,,0,,AL_Liquid_Level,false,0,0,0,L1 - Liquid level alarm,16,30,,43,8,-1,60446,50021,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
0833fb63-3255-4c6a-9987-c87c2301994f,2752,,10,10,,1,,Al_Overload_C11_L1,false,0,0,0,L1 - Compressor 11 overload alarm,16,30,,43,8,-1,60453,50030,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
1bda7c18-f17d-40b5-8bfb-4cbad7ce5e96,2753,,110,110,,1,,Al_Overload_C11_L2,false,0,0,0,L2 - Compressor 11 overload alarm,16,30,,43,8,-1,60454,50031,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
e427a61f-2ace-4ff6-8073-25aececb8c2a,2754,,164,164,,0,,AL_Liquid_Level_L2,false,0,0,0,L2 - Liquid level alarm,16,30,,43,8,-1,60466,50043,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
bcd04ae5-d97b-40d6-ab87-66d470454104,2755,,9,9,,1,,Al_Overload_C9_L1,false,0,0,0,L1 - Compressor 9 overload alarm,16,30,,43,8,-1,60476,50053,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
73cd8d17-bb07-4ec2-ae92-f2499cb966df,2756,,109,109,,1,,Al_Overload_C9_L2,false,0,0,0,L2 - Compressor 9 overload alarm,16,30,,43,8,-1,60477,50054,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
441d2502-47c7-45ef-af6c-702ce916834b,2757,,10,10,,8,,Al_Generic_C12_L1,false,0,0,0,L1 - Compressor 12 generic alarm,16,30,,43,8,-1,60478,50055,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
aff8400b-7f34-4922-91c6-8ac6a1027127,2758,,110,110,,8,,Al_Generic_C12_L2,false,0,0,0,L2 - Compressor 12 generic alarm,16,30,,43,8,-1,60479,50056,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
